AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
22001400,801940,214940,37819,266463,362595,585133,418444,41077,100176,329122,789566,257156,73971,168648,96448,121925,158646,185628,197614,190138,201096,195913,789566
22001400,626495,157347,33730,238410,291032,459375,347462,37950,53284,254589,617209,200547,67184,138361,86037,101336,131555,152105,158496,157926,160888,157288,617209
2200140093000,3440,689,153,1202,1518,2699,2353,133,168,1408,3377,1000,314,706,418,525,755,856,862,863,868,845,3377
2200140093001,152,34,7,52,77,128,111,5,11,54,152,34,16,28,20,19,24,33,32,33,33,33,152
2200140093002,115,23,4,45,52,90,77,*,12,45,115,30,7,26,11,18,28,29,30,30,30,30,115
2200140093003,137,24,9,46,49,108,97,4,6,61,131,36,8,27,15,17,28,30,29,30,30,30,131
2200140093004,128,34,5,34,58,102,86,3,8,46,128,33,8,24,10,14,22,28,28,28,28,28,128
2200140093005,91,20,5,31,49,71,66,3,*,34,91,27,9,16,12,15,18,24,24,24,24,24,91
2200140093006,88,13,*,31,39,61,50,3,7,29,82,30,8,22,14,10,22,27,27,27,27,24,82
2200140093007,59,17,*,33,32,38,36,*,0,25,59,29,10,14,11,13,15,15,15,15,16,16,59
2200140093011,118,21,7,45,45,91,77,7,5,40,109,33,13,26,16,20,27,29,30,29,29,30,109
2200140093012,114,19,7,37,57,97,90,0,5,44,114,34,10,20,13,12,25,29,30,30,30,29,114
2200140093016,104,21,0,23,44,88,65,5,17,35,104,31,4,19,5,14,23,27,27,27,27,25,104
2200140093017,104,25,*,29,40,91,65,0,26,48,104,29,4,19,8,13,25,28,28,27,28,22,104
2200140093022,140,24,5,39,55,105,88,11,6,47,134,37,9,25,12,12,24,31,32,32,32,31,134
2200140093023,106,18,3,42,49,94,85,7,*,36,103,35,11,23,17,21,30,30,30,30,30,30,103
2200140093029,21,3,*,4,10,17,3,*,12,13,21,6,*,5,*,4,5,6,6,6,6,6,21
2200140093030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140093033,130,28,6,35,52,99,96,3,0,56,130,31,10,23,14,18,26,28,29,29,29,28,130
2200140093034,111,19,9,38,47,82,78,0,*,47,111,35,11,22,13,18,28,30,30,30,30,30,111
2200140093035,141,34,8,46,62,108,97,*,7,54,141,33,17,25,20,17,23,29,30,29,30,30,141
2200140093036,139,27,7,57,55,104,99,5,0,69,139,35,9,30,16,25,30,33,34,34,34,34,139
2200140093037,103,12,6,49,53,84,66,11,*,48,97,34,10,23,14,17,27,27,27,27,27,27,97
2200140093038,113,25,5,48,53,85,78,5,*,48,113,34,9,28,13,18,25,30,30,29,30,30,113
2200140093039,103,18,*,23,47,85,80,*,4,43,100,30,8,18,7,12,24,26,27,27,27,27,100
2200140093040,142,25,9,44,60,107,96,*,10,62,142,41,10,32,16,22,28,37,37,37,37,36,142
2200140093041,99,20,6,36,39,84,62,9,4,40,93,33,10,26,12,14,23,26,26,26,26,26,93
2200140093042,153,32,6,34,77,119,109,*,6,64,150,35,8,30,13,20,28,34,32,34,34,34,150
2200140093043,55,15,0,24,22,35,26,*,7,17,55,17,4,10,6,6,13,16,16,16,16,14,55
2200140093044,130,14,6,54,75,109,96,5,4,54,124,39,15,26,17,23,29,33,33,33,33,33,124
2200140093045,58,8,*,23,24,48,45,*,*,32,58,18,8,11,10,12,14,17,17,17,17,17,58
2200140093046,48,5,0,21,23,38,26,13,0,26,48,17,6,11,7,10,16,16,16,15,16,15,48
2200140093047,59,15,*,23,29,53,49,4,0,23,59,15,4,12,5,11,13,14,14,14,14,13,59
2200140093048,84,17,5,34,39,67,53,12,*,37,84,27,13,19,17,21,21,22,22,22,22,19,84
2200140093049,52,16,5,21,20,38,31,*,0,22,52,22,10,15,13,13,14,15,15,15,15,13,52
2200140093050,44,12,*,20,16,39,38,0,*,20,44,14,8,11,7,8,11,11,11,11,11,11,44
2200140093052,65,14,4,31,29,39,38,*,0,34,62,23,11,17,12,15,17,17,17,19,19,19,62
2200140093053,8,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*
2200140093054,56,18,*,18,12,42,41,*,0,25,56,14,3,6,5,6,10,10,12,12,12,12,56
2200140093055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140093056,8,*,0,*,3,7,7,0,0,*,8,3,*,3,*,*,3,3,3,3,3,3,8
2200140093058,10,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200140093059,52,14,*,25,18,35,35,0,0,22,46,20,8,11,11,11,12,12,12,12,12,12,46
2200140093060,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2200140106000,3440,698,165,1369,1606,2678,2088,460,142,1445,3422,952,321,703,447,558,769,844,853,862,862,769,3422
2200140106001,163,35,9,59,78,126,121,*,0,74,163,39,13,29,17,19,31,35,35,37,37,21,163
2200140106002,132,33,4,38,57,100,87,7,6,62,132,38,10,25,18,17,30,31,31,32,32,19,132
2200140106003,143,26,8,56,74,91,88,*,*,57,143,38,10,32,19,20,33,35,36,36,36,19,143
2200140106004,145,28,4,53,74,106,92,*,12,57,145,36,10,29,17,16,30,33,35,35,35,19,145
2200140106005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140106008,73,13,8,28,36,49,46,3,0,32,73,20,5,14,10,8,16,17,19,19,19,17,73
2200140106009,69,22,0,12,30,38,31,*,6,25,69,18,4,14,5,8,13,14,14,14,14,14,69
2200140106010,154,29,9,84,74,120,83,45,*,59,154,42,23,33,29,32,36,40,40,40,40,40,154
2200140106011,144,24,10,74,57,126,66,56,4,61,141,46,24,30,23,29,36,39,38,40,40,40,141
2200140106012,140,21,9,67,74,102,60,39,4,66,140,44,15,27,20,25,35,40,40,40,40,39,140
2200140106013,138,31,4,62,62,111,59,54,3,59,138,42,10,28,15,26,37,39,39,39,39,38,138
2200140106014,101,23,5,44,44,67,64,4,*,35,101,25,5,22,10,16,20,24,24,24,24,24,101
2200140106015,134,30,*,41,60,106,93,3,5,59,131,34,11,27,15,20,26,30,30,30,30,28,131
220014010623,117,26,5,57,62,103,57,34,7,46,117,34,12,25,13,17,23,27,27,28,28,28,117
220014010624,93,23,3,41,39,77,65,8,3,43,93,25,8,19,14,18,20,23,23,23,23,23,93
220014010629,56,14,5,22,26,48,39,4,7,24,56,14,5,11,5,5,11,12,12,12,12,12,56
220014010630,56,14,4,25,20,47,42,4,*,21,56,18,8,12,8,8,12,13,13,13,13,13,56
220014010631,68,11,3,23,31,43,30,4,9,25,65,20,7,13,7,10,15,16,16,16,16,16,65
220014010632,95,24,0,25,37,66,53,7,7,29,95,22,7,18,9,11,18,21,22,22,22,21,95
220014010633,124,25,*,37,64,101,98,*,*,62,124,38,11,30,16,26,30,34,35,35,35,35,124
220014010634,135,22,3,49,65,111,100,5,3,63,132,40,12,26,20,20,31,35,34,36,36,14,132
220014010635,126,23,10,48,63,95,85,*,8,54,123,34,13,32,19,24,32,33,33,33,33,31,123
220014010636,85,26,*,24,34,69,56,0,12,34,85,18,*,15,3,7,16,18,18,18,18,18,85
220014010637,57,13,*,15,29,39,39,0,0,20,57,17,*,11,5,9,15,15,15,15,15,15,57
220014010638,161,41,3,59,77,127,108,*,18,74,161,38,7,27,19,24,30,34,34,35,35,35,161
220014010639,163,28,9,56,85,140,124,7,9,74,163,38,12,26,19,24,29,35,36,36,36,36,163
220014010640,70,13,6,36,28,54,44,7,*,26,70,24,9,15,11,14,16,17,18,18,18,18,70
220014010641,69,8,4,31,34,52,47,3,*,28,69,27,7,17,10,16,19,22,22,22,22,22,69
220014010642,133,21,12,69,51,108,59,49,0,57,130,37,17,26,22,27,30,29,30,30,30,30,130
220014010643,109,21,9,51,48,99,57,41,3,47,109,33,19,26,20,26,30,32,32,32,32,32,109
220014010644,95,15,4,37,48,80,53,25,4,34,95,26,12,22,13,17,23,25,25,25,25,25,95
220014010645,92,15,7,46,45,77,42,40,*,38,92,27,11,22,16,19,26,26,27,27,27,27,92
220014010646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001401250,7,3,0,*,3,6,6,0,0,*,7,2,0,*,0,0,0,*,*,0,*,*,7
22001401251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001401252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001401253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001401255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001401259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012513,1,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
220014012516,6,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
220014012518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014012536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001401820,3974,1049,155,1008,1739,2859,2371,184,265,1514,3876,1040,237,692,348,438,652,796,843,853,855,826,3876
22001401821,136,44,5,27,52,86,59,12,15,53,136,29,7,20,10,11,25,24,27,28,28,28,136
22001401823,398,89,9,88,184,284,245,28,5,138,389,84,13,49,22,30,49,68,69,71,71,71,389
22001401824,497,151,7,97,194,365,265,24,71,176,479,114,20,78,35,42,66,90,95,95,95,92,479
22001401825,99,29,*,17,43,64,60,4,0,32,96,22,*,13,6,4,13,16,17,17,17,14,96
22001401826,36,12,0,5,15,27,16,0,11,12,36,12,*,8,*,3,7,9,8,10,10,10,36
22001401827,38,6,*,7,16,29,26,3,0,17,38,11,*,7,*,6,9,9,10,10,10,9,38
22001401828,192,43,4,52,86,146,120,16,12,75,189,39,11,24,15,20,29,32,34,35,35,35,189
22001401829,291,55,16,95,135,216,181,12,17,97,256,70,20,44,21,28,48,59,61,62,62,61,256
220014018210,53,17,*,12,23,42,42,0,0,22,53,13,3,11,4,8,9,12,12,12,12,12,53
220014018211,26,8,*,6,11,17,16,*,0,10,26,9,0,6,*,*,6,6,7,7,7,7,26
220014018213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014018214,93,23,8,40,42,76,64,4,8,40,93,28,8,23,12,18,23,23,24,24,24,20,93
220014018215,283,84,21,123,120,224,185,18,13,115,277,97,42,72,51,56,64,73,75,74,75,74,277
220014018216,45,9,*,*,24,29,22,*,5,18,45,9,0,4,*,*,6,6,9,9,9,9,45
220014018217,181,43,9,47,79,108,94,4,9,76,181,41,9,31,18,25,35,38,38,38,38,38,181
220014018218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014018226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014018228,68,23,*,17,28,45,37,7,3,26,68,16,9,15,7,10,13,14,16,16,16,16,68
220014018229,29,8,*,9,12,16,16,0,0,10,29,7,*,5,*,4,5,5,6,6,6,6,29
220014018230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014018231,99,29,*,11,42,70,57,9,4,36,93,20,*,9,3,7,12,13,15,15,15,14,93
220014018232,84,16,9,27,36,51,49,3,0,42,84,22,8,13,9,15,12,19,19,19,19,18,84
220014018235,37,10,*,6,17,26,26,0,0,15,37,13,3,8,4,*,6,7,10,10,10,9,37
220014018236,123,35,4,13,48,95,79,*,11,41,120,26,4,15,8,5,12,19,20,20,21,18,120
220014018238,35,11,*,12,18,33,25,*,8,20,35,10,4,9,4,7,9,9,9,9,9,9,35
220014018239,60,14,4,21,31,35,31,3,3,25,60,16,0,11,3,4,13,15,15,15,15,14,60
220014018240,30,9,3,9,11,22,16,0,6,12,30,8,3,7,3,5,6,8,8,8,8,8,30
220014018241,23,8,*,8,6,16,16,0,0,11,23,5,3,5,3,3,4,5,5,5,5,5,23
220014018242,120,38,6,26,46,79,60,*,17,53,120,32,6,26,13,18,23,27,29,29,29,28,120
220014018243,19,6,*,3,8,12,9,*,*,10,19,5,*,5,3,4,5,5,5,5,5,5,19
220014018244,161,50,8,35,66,133,118,5,8,68,161,38,12,25,14,18,21,29,28,29,29,28,161
220014018247,22,3,*,13,13,20,12,5,0,6,22,11,5,6,5,3,6,6,6,6,6,6,22
220014018249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014018250,4,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*
220014018252,186,47,7,32,78,140,128,0,12,71,180,30,4,24,10,18,21,28,28,28,28,26,180
220014018254,117,37,*,20,49,55,50,5,0,48,114,22,*,15,3,10,13,17,20,20,20,17,114
220014018255,34,10,0,12,21,32,29,0,3,15,34,11,4,8,6,6,9,9,10,10,10,9,34
220014018256,28,6,*,3,13,19,17,*,0,9,28,6,*,4,*,3,6,6,6,6,6,6,28
220014018257,7,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
220014018258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014018259,38,4,*,11,20,35,32,*,0,20,35,9,*,7,*,5,6,7,7,7,7,7,35
220014018260,80,25,*,6,32,64,54,*,8,29,77,13,3,10,5,7,8,10,11,11,11,10,77
220014018261,13,*,0,3,7,11,11,0,0,8,13,4,0,*,*,0,*,3,4,4,4,4,13
220014018262,16,*,*,8,12,11,4,0,7,7,16,16,3,8,*,3,4,6,8,8,8,8,16
220014018263,19,5,0,8,11,15,15,0,0,6,19,16,*,5,3,*,7,7,8,8,8,8,19
220014018264,15,*,3,10,8,15,12,3,0,*,15,16,5,7,6,*,4,7,8,8,8,8,15
220014018265,28,7,*,18,16,19,12,0,0,13,28,16,*,10,4,3,7,10,11,11,11,11,28
220014018266,19,4,0,7,12,13,12,0,*,*,19,16,*,9,4,4,7,7,8,10,10,10,19
220014018267,22,3,*,17,16,17,14,3,0,8,22,16,3,8,5,5,6,9,10,10,10,10,22
220014018268,20,8,0,3,7,5,4,0,0,4,20,16,*,7,*,*,4,6,7,8,8,8,20
220014018269,25,7,*,10,13,19,14,0,4,*,25,16,0,11,*,3,4,10,12,12,12,12,25
220014018270,25,3,3,6,12,16,13,0,3,8,25,5,4,5,5,4,5,5,5,5,5,5,25
2200140229000,1995,276,186,1391,986,1513,1032,132,26,866,1961,647,474,536,499,538,552,567,571,567,571,565,1961
2200140229001,139,27,9,96,79,82,58,9,0,53,139,46,30,37,36,34,36,41,41,41,41,40,139
2200140229003,114,13,8,70,52,88,58,18,0,45,114,40,27,32,30,32,36,37,39,37,39,39,114
2200140229004,84,3,3,56,39,70,62,3,*,43,84,31,15,24,18,25,27,27,27,27,27,27,84
2200140229005,31,0,4,28,21,30,27,0,0,13,31,12,8,9,8,9,9,9,9,9,9,9,31
2200140229006,44,*,5,38,29,35,27,*,*,18,44,14,11,13,11,12,13,13,14,14,14,14,44
2200140229007,49,7,6,36,24,38,29,0,*,26,49,16,12,15,11,15,14,15,15,15,15,15,49
2200140229008,33,3,7,28,16,28,10,0,0,14,33,11,10,11,10,11,11,11,11,11,11,11,33
2200140229009,49,5,6,33,17,41,26,4,0,21,49,14,11,11,12,12,12,12,12,12,12,11,49
2200140229010,32,0,*,31,14,25,24,*,0,18,32,14,10,11,10,11,12,12,12,12,12,12,32
2200140229011,143,26,7,89,69,106,72,14,5,65,143,47,29,35,34,36,38,39,39,39,39,38,143
2200140229012,46,5,5,30,20,37,25,3,0,17,40,13,9,9,9,9,9,9,9,9,9,9,40
2200140229013,95,12,6,64,52,81,62,*,0,43,95,31,23,26,25,27,29,29,29,29,29,29,95
2200140229015,6,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
2200140229016,111,12,14,83,58,85,52,5,3,52,105,30,25,26,25,26,27,27,27,27,27,27,105
2200140229017,66,8,5,45,33,45,24,5,*,28,66,21,20,20,20,20,20,21,21,21,21,21,66
2200140229018,32,3,5,24,15,27,16,3,*,12,32,10,9,10,9,10,10,10,10,10,10,9,32
2200140229019,22,5,*,13,10,17,9,3,*,8,19,5,3,3,4,4,4,4,4,4,4,4,19
2200140229021,29,6,*,22,14,22,16,*,0,12,29,10,8,10,9,10,9,9,10,8,9,10,29
2200140229023,24,4,3,18,12,20,13,3,0,10,24,8,6,6,6,6,6,6,6,6,6,6,24
2200140229025,24,0,3,19,13,18,9,8,0,11,24,7,6,6,6,7,7,7,7,7,7,7,24
2200140229026,19,*,4,15,8,9,5,*,0,8,19,7,5,5,5,5,5,5,5,5,5,5,19
2200140229027,23,6,0,16,13,18,17,0,0,12,23,9,8,8,8,8,8,8,8,8,8,8,23
2200140229028,50,11,7,30,21,31,22,0,0,19,50,15,11,13,12,12,13,13,13,13,13,13,50
2200140229029,51,9,3,36,23,36,21,10,5,27,51,21,13,18,13,18,19,19,19,19,19,19,51
2200140229030,50,8,5,37,27,43,19,*,*,21,50,13,11,13,11,13,12,13,13,13,13,13,50
2200140229032,18,0,*,14,12,12,11,*,0,10,18,5,4,4,4,4,4,4,4,4,4,4,18
2200140229033,25,5,4,18,14,18,13,*,0,8,25,7,5,6,6,6,5,6,6,7,7,7,25
2200140229035,35,7,4,21,15,27,12,*,0,13,35,10,8,9,8,9,8,10,10,10,10,10,35
2200140229037,10,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200140229038,54,4,13,47,30,37,20,5,0,18,54,18,18,18,18,17,17,18,18,18,18,18,54
2200140229039,46,11,3,28,23,30,24,0,0,17,46,12,11,11,11,11,12,12,12,12,12,12,46
2200140229040,28,8,*,15,9,28,20,*,0,10,28,7,6,7,6,7,7,7,7,7,7,7,28
2200140229041,28,5,0,21,12,22,12,*,0,18,28,9,7,9,8,9,9,9,9,9,9,9,28
2200140229042,38,3,7,26,15,27,23,0,0,17,38,14,10,11,10,12,12,12,12,12,12,12,38
2200140229043,60,7,5,42,29,48,34,5,0,28,60,20,17,18,16,18,18,18,18,17,18,17,60
2200140229044,52,9,5,30,26,38,25,6,0,24,52,15,9,11,10,11,11,11,11,11,11,11,52
2200140229045,80,14,5,51,38,55,40,*,0,32,71,26,18,17,18,18,18,18,18,18,18,18,71
2200140229046,24,*,4,21,13,20,13,*,0,13,24,9,7,8,7,8,8,8,8,8,8,7,24
2200140229047,38,11,*,22,15,36,23,7,0,14,38,12,8,9,8,9,9,10,10,10,10,10,38
2200140229048,13,*,*,9,8,12,9,0,0,8,13,6,4,4,4,4,4,4,4,4,4,4,13
2200140229049,43,6,5,30,19,31,17,*,3,22,43,16,11,12,12,12,13,13,13,13,13,12,43
2200140229050,37,9,4,24,17,24,17,*,0,14,37,10,9,9,9,9,9,9,9,9,9,9,37
2200140248000,5504,1134,284,2173,2604,4012,3186,286,354,2143,5366,1670,536,1157,728,813,1111,1329,1370,1394,1402,1393,5366
2200140248001,195,44,7,52,91,152,122,8,20,80,168,42,11,30,17,22,26,32,34,32,34,34,168
2200140248002,257,72,8,52,104,170,132,7,31,92,254,78,12,45,16,25,36,45,54,57,57,57,254
2200140248003,149,24,8,69,73,117,83,26,7,58,143,46,16,35,17,24,32,36,37,38,38,38,143
2200140248004,191,48,9,53,95,127,111,4,8,71,191,48,9,39,14,18,30,41,44,44,44,43,191
2200140248005,100,24,5,26,45,73,54,4,8,45,100,25,6,15,8,8,18,20,21,22,23,22,100
2200140248006,102,18,*,23,54,84,57,5,19,43,102,29,4,15,8,8,14,18,23,24,24,24,102
2200140248007,163,40,8,52,70,135,117,3,12,61,163,41,14,30,16,17,29,37,40,40,40,40,163
2200140248008,197,47,3,43,92,146,111,6,29,81,191,50,10,36,18,22,40,43,43,43,43,43,191
2200140248009,208,41,9,69,100,149,120,16,11,64,208,62,13,32,18,19,41,48,50,53,53,52,208
2200140248010,108,27,*,35,59,78,60,*,16,39,105,40,3,35,11,5,18,33,34,37,37,37,105
2200140248012,131,25,*,36,56,79,63,0,10,51,119,41,13,27,19,19,28,32,32,31,32,32,119
2200140248013,33,7,*,7,14,24,24,0,0,15,33,11,3,8,5,5,9,11,11,11,11,11,33
2200140248014,140,31,8,37,65,84,76,5,3,48,131,46,7,29,13,16,27,34,34,36,37,37,131
2200140248015,417,90,16,136,185,311,236,40,37,180,414,117,27,70,36,57,75,89,95,96,96,97,414
2200140248018,124,23,6,51,53,91,54,18,17,55,121,37,15,32,21,23,27,31,33,34,34,34,121
2200140248020,125,18,8,66,60,80,63,9,5,52,119,36,15,27,20,22,28,31,30,31,31,31,119
2200140248021,59,5,8,43,27,38,23,5,0,21,59,18,15,18,15,15,15,18,18,18,18,18,59
2200140248022,79,15,5,43,35,64,48,15,0,36,79,29,8,17,11,15,23,25,25,25,25,25,79
2200140248023,75,13,4,41,40,52,36,0,0,31,69,22,11,16,12,13,14,17,18,18,18,18,69
2200140248024,110,16,4,61,61,70,66,0,*,48,107,27,17,24,21,22,26,26,25,26,26,26,107
2200140248025,115,20,6,61,47,95,75,0,5,48,109,36,22,29,27,30,31,33,33,32,33,33,109
2200140248026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140248027,113,8,11,88,69,90,74,0,0,40,113,37,22,29,26,22,29,32,32,32,32,32,113
2200140248028,42,5,6,29,24,38,22,5,5,12,42,23,8,14,9,9,11,14,16,16,16,15,42
2200140248029,74,10,*,45,42,62,55,6,0,26,74,27,18,20,18,18,22,23,24,24,24,24,74
2200140248030,144,25,8,77,71,105,85,18,4,63,138,44,18,34,26,30,35,40,40,40,40,40,138
2200140248031,93,17,11,46,42,56,55,*,*,40,90,28,10,22,19,15,19,22,22,23,23,23,90
2200140248032,33,5,*,20,17,25,20,*,3,13,33,14,7,10,8,7,9,11,11,11,11,11,33
2200140248033,4,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200140248036,47,8,*,24,26,32,26,*,3,13,47,18,9,12,10,10,12,14,14,14,14,14,47
2200140248037,261,56,17,121,125,194,142,8,10,102,246,85,40,62,50,48,56,66,66,68,68,67,246
2200140248040,284,75,15,94,128,208,160,13,29,84,281,100,22,70,32,32,54,76,75,79,79,79,281
2200140248041,169,34,13,58,80,146,125,3,18,54,166,60,7,35,19,9,31,46,48,49,49,48,166
2200140248042,94,17,6,52,53,67,53,0,6,32,94,48,9,23,14,16,19,28,30,30,30,29,94
2200140248043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140248045,64,9,*,32,32,48,34,7,7,24,61,16,5,14,8,11,14,15,15,15,15,15,61
2200140248046,41,7,6,23,20,37,35,0,*,17,41,11,7,9,9,9,11,11,11,11,11,11,41
2200140248047,127,22,8,68,52,96,66,*,*,49,121,43,18,29,25,29,30,33,33,33,33,33,121
2200140248048,51,7,3,33,31,39,31,0,*,28,51,19,12,16,13,17,17,17,17,17,17,17,51
2200140248049,25,4,*,13,14,19,16,*,*,12,25,9,5,8,4,5,8,8,7,8,8,7,25
2200140248050,46,4,5,27,25,30,23,6,0,20,46,16,8,11,8,10,13,13,13,13,13,13,46
2200140248051,241,49,14,118,115,177,140,25,11,97,238,69,29,47,35,41,52,62,62,62,63,62,238
2200140248052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140248053,134,39,7,39,61,84,83,*,0,57,134,29,6,23,13,17,24,26,26,27,27,27,134
2200140248054,142,42,7,40,59,109,107,0,*,60,142,37,9,24,15,20,20,28,28,29,29,28,142
2200140248055,60,12,4,18,28,39,32,7,0,25,60,11,5,9,7,8,9,10,11,11,11,11,60
2200140248056,119,26,5,39,51,76,62,4,10,48,116,32,9,19,13,19,22,27,27,27,27,27,116
2200140248057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140248070,12,3,0,8,6,11,7,4,0,6,12,6,*,4,*,4,3,4,4,4,4,4,12
2200140248071,6,0,*,5,5,5,*,*,0,0,6,6,*,3,*,*,3,*,3,3,3,3,6
2200140248073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140252000,6276,1419,234,1905,2886,4084,3194,307,550,2332,6146,1826,399,1130,554,650,1084,1328,1457,1485,1491,1480,6146
2200140252001,89,14,4,31,32,52,49,*,*,37,80,25,9,21,11,13,16,20,21,21,21,21,80
2200140252002,168,45,7,54,72,127,105,8,14,64,162,44,12,29,16,14,30,34,36,37,37,37,162
2200140252003,428,101,15,129,196,259,201,17,41,149,419,117,13,70,23,36,65,80,96,101,101,100,419
2200140252004,95,26,*,23,42,66,50,7,8,35,92,23,5,19,7,10,17,20,22,22,22,22,92
2200140252005,124,24,4,36,56,81,58,4,18,50,118,38,10,27,11,11,20,30,31,31,31,30,118
2200140252006,105,22,*,27,46,70,55,5,8,35,102,24,7,11,10,8,17,20,20,20,20,19,102
2200140252007,80,16,8,30,36,60,35,5,14,29,57,16,4,8,5,8,9,11,11,11,11,11,57
2200140252008,109,18,3,29,57,83,66,10,7,42,109,27,7,20,8,12,20,23,23,24,24,24,109
2200140252009,691,182,28,188,306,427,342,26,58,221,688,200,29,118,41,56,103,134,149,150,151,153,688
2200140252010,398,104,13,108,175,281,224,21,41,157,395,108,19,72,34,30,69,86,93,94,94,93,395
2200140252011,151,28,6,44,68,76,69,4,3,57,142,40,6,20,11,17,24,27,28,30,30,28,142
2200140252012,111,27,3,25,51,61,56,*,*,42,111,29,6,16,10,13,17,20,22,23,23,23,111
2200140252013,124,36,3,28,50,101,80,9,6,51,121,33,7,26,13,11,26,26,29,29,29,29,121
